Strain,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species
19AcAm127.1.1,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAm40.6.1,A11,19AcAm127A.2.1,L9,19AcAm43.3.1,Z7,Genomes,Hastings Reserve,36.38798601,-121.550234,A. americanus,Bradyrhizobium,24
19AcPa283.2.1,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS23_10,I3,11LoS6_3,G1,19AcS179.1.1,D14,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,Santa Cruz Island,33.99677,-119.72772,A. parviflorus,Bradyrhizobium,24
19AcAm43.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm43.3.1,D15,19AcAM290.1.1,A12,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,McLaughlin Reserve,38.85984899,-122.409001,A. americanus,Bradyrhizobium,24
19AcPa151.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa178.2.1,D6,19AcPa178.2.1,A13,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,Hastings Reserve,36.37880799,-121.563181,A. parviflorus,Bradyrhizobium,24
23,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Genomes,Bodega Marine Reserve,38.3193,-123.063667,A. strigosus,Bradyrhizobium,24
11LoS17_12,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS17_8,G2,12LoS15_2,D12,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
05LoS3_1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS16_7,D17,05LoS16_10,A15,05LoS16_7,L11,05LoS3_1,Z8,Hollowell,Bodega Marine Reserve,38.3193,-123.063733,A. strigosus,Bradyrhizobium,
19AcS5.6.1,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS20_3,D18,11LoS17_3,A16,19AcS5.6.1,L12,11LoS7_2,Z1,Genomes,Griffith Park,34.121964,-118.30892,A. strigosus,Bradyrhizobium,24
09LoS36_3,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,19AcS398Asp.1.1,A2,05LoS16_8,L1,11LoS30_2,Z9,Hollowell,UC Riverside Hills,33.965933,-117.323,A. strigosus,Bradyrhizobium,
19AcGLB197.3.1,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcGLB197.3.1,A17,19AcS312.3.1,L13,11LoS7_2,Z1,Genomes,Big Creek Reserve,36.05393,-121.54078,A. glaber,Bradyrhizobium,24
19AcPa284.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,19AcPa284.3.1,D19,19AcPa284.3.1,A18,19AcPa284.3.1,L14,19AcPa284.3.1,Z10,Genomes,Santa Cruz Island,33.9968,-119.72772,A. parviflorus,Bradyrhizobium,24
05LoS23R7_12,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS9_1,D20,05LoS23_10,A19,05LoS22_6,L4,11LoS7_2,Z1,Genomes,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,24
19AcS313A.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS36_2,D21,12LoS18_1,A9,19AcS313A.2.1,L15,11LoS7_2,Z1,Genomes,San Dimas Canyon,34.16377097,-117.769158,A. strigosus,Bradyrhizobium,24
19AcARN300.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,11LoS17_5,A20,19AcS312.3.1,L13,11LoS7_2,Z1,Genomes,Santa Cruz Island,33.99979,-119.71513,A. argophyllus var. niveus,Bradyrhizobium,24
19AcAm40.6.1,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcAm40.6.1,D22,19AcAm40.6.1,A11,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,McLaughlin Reserve,38.859937,-122.408996,A. americanus,Bradyrhizobium,24
11LoS28_4,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS31_3,I7,11LoS6_3,G1,11LoS28_4,D23,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
19AcPa177.2.2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcPa177.2.2,D24,19AcPa177.2.2,A22,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,Big Creek Reserve,36.05631,-121.54202,A. parviflorus,Bradyrhizobium,24
19AcD280.2.1,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS23_10,I3,11LoS6_3,G1,11LoS34_5,D8,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,Santa Cruz Island,34.01447,-119.69021,A. dendroideus var. dendroideus,Bradyrhizobium,24
19AcAM290.1.1,19AcHe316.1.1,K1,05LoS13_4,R2,19AcAM290.2.1,I8,11LoS6_3,G1,19AcPa284.3.1,D19,19AcAM290.1.1,A12,19AcAM290.2.1,L16,19AcAm43.3.1,Z7,Genomes,Santa Cruz Island,33.99768,-119.72744,A. americanus,Bradyrhizobium,24
19AcAm129.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm40.6.1,D22,19AcAm40.6.1,A11,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,Hastings Reserve,36.38790001,-121.550286,A. americanus,Bradyrhizobium,24
11LoS15_1,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,11LoS15_2,D25,11LoS15_1,A24,05LoS20_8,L8,11LoS15_2,Z4,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.70845,A. strigosus,Bradyrhizobium,
19AcARN268.3.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,12LoS5_1,I4,11LoS6_3,G1,12LoS5_2,D4,19AcARN268.3.1,A25,19AcS313A.2.1,L15,11LoS18_1,Z11,Genomes,Santa Cruz Island,34.01141,-119.68967,A. argophyllus var. niveus,Bradyrhizobium,24
19AcS181.1.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcS181.3.1,A26,05LoS16_12,L7,11LoS7_2,Z1,Genomes,Big Creek Reserve,36.06592999,-121.561143,A. strigosus,Bradyrhizobium,24
19AcGLBFCO1.1.1,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,19AcPa178.2.1,D6,19AcPa146.2.1,A27,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,Big Creek Reserve,36.05631,-121.54202,A. glaber,Bradyrhizobium,24
19AcGLB196.2.1,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcGLB197.3.1,A17,19AcS312.3.1,L13,11LoS7_2,Z1,Genomes,Big Creek Reserve,36.05393,-121.54075,A. glaber,Bradyrhizobium,24
CW4,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcGLB10.1.1,A1,05LoS22_6,L4,11LoS7_2,Z1,Genomes,UC Riverside Hills,33.965933,-117.323,A. strigosus,Bradyrhizobium,24
05LoS23_10,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,05LoS23_10,G3,12LoS9_1,D20,05LoS23_10,A19,05LoS22_6,L4,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
19AcARN282.2.1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,12LoS5_1,I4,11LoS6_3,G1,12LoS15_2,D12,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,Santa Cruz Island,34.01447,-119.69021,A. argophyllus var. niveus,Bradyrhizobium,24
05LoS23_11,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_1,A28,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.319444,-123.062222,A. strigosus,Bradyrhizobium,
09LoS40_3,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS19_10,I9,11LoS6_3,G1,11LoS20_3,D18,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
11LoS23_1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS23_1,D26,11LoS23_1,A29,05LoS20_8,L8,11LoS6_3,Z3,Hollowell,San Dimas Canyon,34.1344,-117.778867,A. strigosus,Bradyrhizobium,
11LoS23_7,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS23_1,D26,11LoS23_1,A29,05LoS20_8,L8,11LoS6_3,Z3,Hollowell,San Dimas Canyon,34.1344,-117.778867,A. strigosus,Bradyrhizobium,
11LoS23_8,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS23_8,D27,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,San Dimas Canyon,34.1344,-117.778867,A. strigosus,Bradyrhizobium,
11LoS23_9,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS23_1,D26,11LoS23_1,A29,05LoS20_8,L8,11LoS6_3,Z3,Hollowell,San Dimas Canyon,34.1344,-117.778867,A. strigosus,Bradyrhizobium,
11LoS23_10,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,11LoS23_10,D28,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,San Dimas Canyon,34.1344,-117.778867,A. strigosus,Bradyrhizobium,
11LoS24_1,19AcHe316.1.1,K1,11LoS24_1,R6,11LoS24_1,I1,11LoS6_3,G1,11LoS23_8,D27,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,San Dimas Canyon,34.1344,-117.778867,A. strigosus,Bradyrhizobium,
11LoS25_2,19AcHe316.1.1,K1,11LoS25_2,R7,11LoS24_1,I1,11LoS6_3,G1,11LoS23_8,D27,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,San Dimas Canyon,34.1344,-117.778867,A. strigosus,Bradyrhizobium,
11LoS26_1,19AcHe316.1.1,K1,11LoS24_1,R6,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,19AcGLB10.1.1,A1,11LoS26_1,L18,11LoS7_2,Z1,Hollowell,San Dimas Canyon,34.1344,-117.778867,A. strigosus,Bradyrhizobium,
11LoS27_1,19AcHe316.1.1,K1,11LoS24_1,R6,11LoS24_1,I1,11LoS6_3,G1,11LoS28_4,D23,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS27_3,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS28_4,D23,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS28_2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS28_4,D23,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS28_7,19AcHe316.1.1,K1,11LoS28_7,R8,11LoS24_1,I1,11LoS6_3,G1,12LoS8_1,D29,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS29_7,19AcHe316.1.1,K1,05LoS22_13,R9,11LoS24_1,I1,11LoS6_3,G1,11LoS28_4,D23,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS29_8,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS28_4,D23,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS29_9,19AcHe316.1.1,K1,11LoS24_1,R6,11LoS24_1,I1,11LoS6_3,G1,11LoS28_4,D23,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS29_10,19AcHe316.1.1,K1,11LoS24_1,R6,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,11LoS29_10,A30,05LoS16_8,L1,11LoS29_10,Z12,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS30_2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcS5.2.1,D3,19AcS398Asp.1.1,A2,05LoS16_8,L1,11LoS30_2,Z9,Hollowell,Robert J. Bernard Biological Field Station,34.110517,-117.708983,A. strigosus,Bradyrhizobium,
11LoS34_2,19AcHe316.1.1,K1,11LoS34_2,R10,11LoS23_10,I3,11LoS6_3,G1,11LoS34_2,D30,11LoS34_2,A31,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Burns Pion Ridge Reserve,34.15315,-116.475117,A. strigosus,Bradyrhizobium,
11LoS34_3,19AcHe316.1.1,K1,11LoS34_3,R11,11LoS23_10,I3,11LoS6_3,G1,11LoS34_2,D30,11LoS34_3,A32,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Burns Pion Ridge Reserve,34.15315,-116.475117,A. strigosus,Bradyrhizobium,
11LoS34_4,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,11LoS34_5,D8,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Burns Pion Ridge Reserve,34.15315,-116.475117,A. strigosus,Bradyrhizobium,
11LoS34_5,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,11LoS34_5,D8,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Burns Pion Ridge Reserve,34.15315,-116.475117,A. strigosus,Bradyrhizobium,
11LoS34_6,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,11LoS34_6,D31,12LoS18_1,A9,05LoS16_12,L7,11LoS7_2,Z1,Hollowell,Burns Pion Ridge Reserve,34.15315,-116.475117,A. strigosus,Bradyrhizobium,
11LoS34_7,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,11LoS34_6,D31,12LoS18_1,A9,05LoS16_12,L7,11LoS7_2,Z1,Hollowell,Burns Pion Ridge Reserve,34.15315,-116.475117,A. strigosus,Bradyrhizobium,
11LoS34_8,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS34_4,I5,11LoS6_3,G1,11LoS34_6,D31,12LoS18_1,A9,05LoS16_12,L7,11LoS7_2,Z1,Hollowell,Burns Pion Ridge Reserve,34.15315,-116.475117,A. strigosus,Bradyrhizobium,
11LoS34_9,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS34_4,I5,11LoS6_3,G1,11LoS34_6,D31,12LoS18_1,A9,05LoS16_12,L7,11LoS7_2,Z1,Hollowell,Burns Pion Ridge Reserve,34.15315,-116.475117,A. strigosus,Bradyrhizobium,
09LoS38_1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,09LoS38_1,A33,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,UC Riverside Hills,33.96585,-117.32295,A. strigosus,Bradyrhizobium,
09LoS38_2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,09LoS38_2,A34,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,UC Riverside Hills,33.96585,-117.32295,A. strigosus,Bradyrhizobium,
09LoS38_3,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcS5.2.1,D3,09LoS38_1,A33,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,UC Riverside Hills,33.96585,-117.32295,A. strigosus,Bradyrhizobium,
09LoS39_1,19AcHe316.1.1,K1,09LoS39_1,R12,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,UC Riverside Hills,33.96585,-117.32295,A. strigosus,Bradyrhizobium,
09LoS39_2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS35_2,D32,09LoS38_1,A33,19AcARN268.1.1,L3,09LoS35_2,Z13,Hollowell,UC Riverside Hills,33.96585,-117.32295,A. strigosus,Bradyrhizobium,
09LoS40_1,19AcHe316.1.1,K1,09LoS40_1,R13,11LoS24_1,I1,11LoS6_3,G1,09LoS40_1,D33,19AcS307.1.1,A23,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS40_2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS40_1,D33,09LoS40_2,A35,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS40_4,19AcHe316.1.1,K1,05LoS2_3,R14,11LoS24_1,I1,11LoS6_3,G1,09LoS40_1,D33,09LoS40_4,A36,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS40_5,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,09LoS36_2,D21,19AcD280.1.1,A37,09LoS40_5,L19,19AcS142.2.1,Z6,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS40_6,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,09LoS40_6,A38,05LoS16_12,L7,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS40_7,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,05LoS16_3,G4,09LoS40_7,D34,19AcGLB10.1.1,A1,CW11,L20,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS40_8,19AcHe316.1.1,K1,05LoS13_4,R2,19AcPa283.1.1,I10,11LoS6_3,G1,11LoS6_3,D1,09LoS40_4,A36,05LoS16_8,L1,09LoS40_8,Z14,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS40_9,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS23_10,I3,11LoS6_3,G1,09LoS36_2,D21,09LoS40_9,A39,09LoS40_5,L19,19AcS142.2.1,Z6,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS40_10,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,09LoS40_10,I11,11LoS6_3,G1,09LoS40_10,D7,09LoS40_10,A40,05LoS22_6,L4,11LoS6_3,Z3,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS41_2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,09LoS41_2,I12,11LoS6_3,G1,09LoS41_2,D35,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS41_3,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS40_10,D7,12LoS18_1,A9,05LoS22_6,L4,11LoS6_3,Z3,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS41_4,19AcHe316.1.1,K1,09LoS41_4,R15,11LoS24_1,I1,11LoS6_3,G1,12LoS13_1,D36,19AcGLB10.1.1,A1,09LoS41_4,L21,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.8052,-117.25765,A. strigosus,Bradyrhizobium,
09LoS42_3,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS23_10,I3,11LoS6_3,G1,12LoS5_2,D4,12LoS18_1,A9,05LoS22_6,L4,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
09LoS42_4,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,09LoS42_4,A41,05LoS22_6,L4,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
09LoS42_5,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,09LoS42_4,A41,19AcS312.3.1,L13,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
09LoS42_6,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS42_6,D37,09LoS42_6,A42,05LoS16_12,L7,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
09LoS42_7,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,09LoS42_4,A41,05LoS22_6,L4,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
09LoS43_3,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,12LoS18_1,A9,19AcS312.3.1,L13,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
09LoS43_4,19AcHe316.1.1,K1,09LoS43_4,R16,11LoS23_10,I3,11LoS6_3,G1,19AcS312.3.1,D38,19AcS312.3.1,A43,19AcS312.3.1,L13,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
09LoS43_5,19AcHe316.1.1,K1,09LoS35_3,R17,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Motte Rimrock Reserve,33.805167,-117.257533,A. strigosus,Bradyrhizobium,
11LoS6_3,19AcHe316.1.1,K1,11LoS6_3,R18,11LoS24_1,I1,11LoS6_3,G1,11LoS6_3,D1,11LoS6_3,A44,11LoS6_3,L22,11LoS6_3,Z3,Hollowell,San Dimas Reservoir,34.163833,-117.76915,A. strigosus,Bradyrhizobium,
11LoS7_1,19AcHe316.1.1,K1,11LoS34_2,R10,11LoS24_1,I1,11LoS6_3,G1,11LoS7_1,D39,11LoS7_1,A45,11LoS7_1,L23,11LoS7_1,Z15,Hollowell,San Dimas Reservoir,34.163833,-117.76915,A. strigosus,Bradyrhizobium,
11LoS7_2,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,San Dimas Reservoir,34.163833,-117.76915,A. strigosus,Bradyrhizobium,
11LoS7_3,19AcHe316.1.1,K1,09LoS35_3,R17,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,19AcS307.1.1,A23,05LoS22_6,L4,11LoS7_3,Z16,Hollowell,San Dimas Reservoir,34.163833,-117.76915,A. strigosus,Bradyrhizobium,
11LoS7_4,19AcHe316.1.1,K1,09LoS35_3,R17,11LoS24_1,I1,11LoS6_3,G1,11LoS7_4,D40,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,San Dimas Reservoir,34.163833,-117.76915,A. strigosus,Bradyrhizobium,
11LoS13_3,19AcHe316.1.1,K1,12LoS20_2,R19,11LoS24_1,I1,11LoS6_3,G1,12LoS9_1,D20,11LoS13_3,A46,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS13_4,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,12LoS15_2,D12,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS14_4,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS28_4,D23,19AcARN282.3.1,A21,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
11LoS14_5,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcGLB10.1.1,A1,19AcS312.3.1,L13,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,
