Strain,X,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species,CHR_haplotype,SYM_haplotype,Genome_haplotype,CHR.clade
19AcARN305.1.1,313,11LoS23_4,K6,19AcD306.1.1,R51,19AcARN305.1.1,I35,11LoS11_2,G18,19AcARN305.1.1,D79,12LoS16_1,A94,19AcARN305.1.1,L64,11LoS11_2,Z45,Genomes,SCI,34.00406,-119.70664,A. argophyllus var. niveus,Bradyrhizobium,14,K6_R51_I35_G18,D79_A94_L64_Z45,K6_R51_I35_G18_D79_A94_L64_Z45,B. japonicum
19AcARN305.2.1,315,11LoS23_4,K6,19AcARN305.2.1,R55,19AcGR302.2.1,I34,11LoS11_2,G18,19AcARN305.2.1,D80,19AcARN305.2.1,A97,19AcGR302.5.1,L63,19AcARN305.2.1,Z48,Genomes,SCI,34.00406,-119.70664,A. argophyllus var. niveus,Bradyrhizobium,14,K6_R55_I34_G18,D80_A97_L63_Z48,K6_R55_I34_G18_D80_A97_L63_Z48,B. japonicum
19AcD266.1.1,171,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcD266.1.1,Z22,Genomes,SCI,34.01141,-119.68967,A. dendroideus var. dendroideus,Bradyrhizobium,24,K1_R1_I1_G1,D16_A14_L1_Z22,K1_R1_I1_G1_D16_A14_L1_Z22,B. canariense
19AcD266.2.1,297,11LoS22_4,K3,19AcARN300.1.1,R50,12LoS1_1,I28,11LoS19_4,G14,19AcD266.2.1,D73,12LoS6_1,A92,19AcD266.2.1,L62,19AcD266.2.1,Z42,Genomes,SCI,34.01141,-119.68967,A. dendroideus var. dendroideus,Bradyrhizobium,31,K3_R50_I28_G14,D73_A92_L62_Z42,K3_R50_I28_G14_D73_A92_L62_Z42,B. yuanmingense
19AcD266.3.1,132,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,19AcS398sp.3.1,A49,19AcS398sp.3.1,L27,11LoS7_2,Z1,Genomes,SCI,34.01141,-119.68967,A. dendroideus var. dendroideus,Bradyrhizobium,24,K1_R1_I1_G1,D4_A49_L27_Z1,K1_R1_I1_G1_D4_A49_L27_Z1,B. canariense
19AcD271.1.1,176,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,12LoS5_1,I4,11LoS6_3,G1,19AcARN282.3.1,D9,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,SCI,34.01141,-119.68967,A. dendroideus var. dendroideus,Bradyrhizobium,24,K1_R1_I4_G1,D9_A23_L5_Z3,K1_R1_I4_G1_D9_A23_L5_Z3,B. canariense
19AcD280.1.1,343,11LoS31_3,K7,09LoS36_4,R58,13LoS14_2,I39,09LoS36_4,G20,19AcD280.1.1,D86,19AcD280.1.1,A37,19AcD280.1.1,L72,19AcD280.1.1,Z39,Genomes,SCI,34.01447,-119.69021,A. dendroideus var. dendroideus,Bradyrhizobium,49,K7_R58_I39_G20,D86_A37_L72_Z39,K7_R58_I39_G20_D86_A37_L72_Z39,B. sp. novel I
19AcD280.2.1,33,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS23_10,I3,11LoS6_3,G1,11LoS34_5,D8,19AcS307.1.1,A23,19AcS5.1.1,L5,11LoS6_3,Z3,Genomes,SCI,34.01447,-119.69021,A. dendroideus var. dendroideus,Bradyrhizobium,24,K1_R4_I3_G1,D8_A23_L5_Z3,K1_R4_I3_G1_D8_A23_L5_Z3,B. canariense
19AcD281.1.1,340,11LoS31_3,K7,09LoS36_4,R58,13LoS14_2,I39,09LoS36_4,G20,19AcGLB197.1.1,D70,19AcD281.2.1,A104,19AcGLB197.1.1,L69,19AcD281.2.1,Z57,Genomes,SCI,34.01447,-119.69021,A. dendroideus var. dendroideus,Bradyrhizobium,49,K7_R58_I39_G20,D70_A104_L69_Z57,K7_R58_I39_G20_D70_A104_L69_Z57,B. sp. novel I
19AcD281.2.1,354,11LoS31_3,K7,19AcARN282.1.1,R59,19AcD281.2.1,I40,09LoS36_4,G20,19AcGLB197.1.1,D70,19AcD281.2.1,A104,19AcGLB197.1.1,L69,19AcD281.2.1,Z57,Genomes,SCI,34.01447,-119.69021,A. dendroideus var. dendroideus,Bradyrhizobium,49,K7_R59_I40_G20,D70_A104_L69_Z57,K7_R59_I40_G20_D70_A104_L69_Z57,B. sp. novel I
19AcD281.3.1,296,11LoS22_4,K3,19AcARN300.1.1,R50,12LoS1_1,I28,11LoS19_4,G14,19AcD281.3.1,D72,19AcD281.3.1,A91,19AcD281.3.1,L61,19AcD281.3.1,Z41,Genomes,SCI,34.01447,-119.69021,A. dendroideus var. dendroideus,Bradyrhizobium,31,K3_R50_I28_G14,D72_A91_L61_Z41,K3_R50_I28_G14_D72_A91_L61_Z41,B. yuanmingense
19AcD298.1.1,349,11LoS31_3,K7,19AcARN282.1.1,R59,13LoS14_2,I39,09LoS36_4,G20,19AcS308.1.1,D89,19AcD298.3.1,A106,19AcD298.3.1,L71,19AcGLB197.1.1,Z58,Genomes,SCI,33.99982,-119.71511,A. dendroideus var. dendroideus,Bradyrhizobium,49,K7_R59_I39_G20,D89_A106_L71_Z58,K7_R59_I39_G20_D89_A106_L71_Z58,B. sp. novel I
19AcD298.2.1,351,11LoS31_3,K7,19AcARN282.1.1,R59,13LoS14_2,I39,09LoS36_4,G20,19AcS308.1.1,D89,19AcD298.3.1,A106,19AcD298.3.1,L71,19AcGLB197.1.1,Z58,Genomes,SCI,33.99982,-119.71511,A. dendroideus var. dendroideus,Bradyrhizobium,49,K7_R59_I39_G20,D89_A106_L71_Z58,K7_R59_I39_G20_D89_A106_L71_Z58,B. sp. novel I
19AcD298.3.1,342,11LoS31_3,K7,19AcARN282.1.1,R59,13LoS14_2,I39,09LoS36_4,G20,19AcS308.1.1,D89,19AcD298.3.1,A106,19AcD298.3.1,L71,19AcGLB197.1.1,Z58,Genomes,SCI,33.99982,-119.71511,A. dendroideus var. dendroideus,Bradyrhizobium,49,K7_R59_I39_G20,D89_A106_L71_Z58,K7_R59_I39_G20_D89_A106_L71_Z58,B. sp. novel I
19AcD306.1.1,307,11LoS23_4,K6,19AcD306.1.1,R51,19AcD306.1.1,I33,11LoS11_2,G18,12LoS3_2,D74,11LoS11_2,A95,19AcGR302.5.1,L63,11LoS11_2,Z45,Genomes,SCI,34.00406,-119.70664,A. dendroideus var. dendroideus,Bradyrhizobium,14,K6_R51_I33_G18,D74_A95_L63_Z45,K6_R51_I33_G18_D74_A95_L63_Z45,B. japonicum
19AcGLB10.1.1,375,12LoS2_1,K12,19AcGLB10.1.1,R64,12LoS2_1,I48,13LoS15_1,G26,19AcS309.1.1,D2,19AcGLB10.1.1,A1,19AcS309.1.1,L2,19AcS309.1.1,Z2,Genomes,GP,34.12199,-118.30886,A. glaber,Bradyrhizobium,32,K12_R64_I48_G26,D2_A1_L2_Z2,K12_R64_I48_G26_D2_A1_L2_Z2,B. yuanmingense
19AcGLB10.2.1,353,11LoS31_3,K7,19AcARN282.1.1,R59,13LoS14_2,I39,09LoS36_4,G20,19AcGLB197.1.1,D70,19AcGLB10.2.1,A108,19AcGLB197.1.1,L69,19AcGLB197.1.1,Z58,Genomes,GP,34.12199,-118.30886,A. glaber,Bradyrhizobium,49,K7_R59_I39_G20,D70_A108_L69_Z58,K7_R59_I39_G20_D70_A108_L69_Z58,B. sp. novel I
19AcGLB102.2.1,11,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,12LoS5_1,I4,11LoS6_3,G1,19AcGLB103.2.1,D10,19AcGLB102.2.1,A7,05LoS16_8,L1,11LoS7_2,Z1,Genomes,HR,36.35856,-121.5516,A. glaber,Bradyrhizobium,24,K1_R1_I4_G1,D10_A7_L1_Z1,K1_R1_I4_G1_D10_A7_L1_Z1,B. canariense
19AcGLB102.2.2,7,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,09LoS40_10,D7,19AcGLB102.2.2,A5,05LoS16_12,L7,19AcS142.2.1,Z6,Genomes,HR,36.35856,-121.5516,A. glaber,Bradyrhizobium,24,K1_R1_I1_G1,D7_A5_L7_Z6,K1_R1_I1_G1_D7_A5_L7_Z6,B. canariense
19AcGLB103.2.1,250,19AcHe316.1.1,K1,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,19AcGLB103.2.1,D10,19AcGLB103.2.1,A78,19AcGLB103.2.1,L47,11LoS6_3,Z3,Genomes,HR,36.35853,-121.5516,A. glaber,Bradyrhizobium,24,K1_R4_I1_G1,D10_A78_L47_Z3,K1_R4_I1_G1_D10_A78_L47_Z3,B. canariense
19AcGLB196.1.1,350,11LoS31_3,K7,09LoS36_4,R58,13LoS14_2,I39,09LoS36_4,G20,19AcGLB196.1.1,D90,19AcGLB197.1.1,A107,19AcGLB196.1.1,L73,CW17,Z54,Genomes,BCR,36.05393,-121.54075,A. glaber,Bradyrhizobium,49,K7_R58_I39_G20,D90_A107_L73_Z54,K7_R58_I39_G20_D90_A107_L73_Z54,B. sp. novel I
19AcGLB196.2.1,40,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcGLB197.3.1,A17,19AcS312.3.1,L13,11LoS7_2,Z1,Genomes,BCR,36.05393,-121.54075,A. glaber,Bradyrhizobium,24,K1_R5_I1_G1,D9_A17_L13_Z1,K1_R5_I1_G1_D9_A17_L13_Z1,B. canariense
19AcGLB196.3.1,480,19AcGLB196.3.1,K44,19AcGLB196.3.1,R89,19AcGLB196.3.1,I77,19AcGLB196.3.1,G48,19AcGLB196.3.1,D116,19AcGLB196.3.1,A136,19AcGLB196.3.1,L99,19AcGLB196.3.1,Z78,Genomes,BCR,36.05393,-121.54075,A. glaber,Bradyrhizobium,28,K44_R89_I77_G48,D116_A136_L99_Z78,K44_R89_I77_G48_D116_A136_L99_Z78,B. canariense
19AcGLB197.1.1,347,11LoS31_3,K7,09LoS36_4,R58,13LoS14_2,I39,09LoS36_4,G20,19AcGLB197.1.1,D70,19AcGLB197.1.1,A107,19AcGLB197.1.1,L69,19AcGLB197.1.1,Z58,Genomes,BCR,36.05393,-121.54078,A. glaber,Bradyrhizobium,49,K7_R58_I39_G20,D70_A107_L69_Z58,K7_R58_I39_G20_D70_A107_L69_Z58,B. sp. novel I
19AcGLB197.2.1,499,19AcGLB197.2.1,K56,19AcGLB197.2.1,R101,19AcGLB197.2.1,I88,19AcGLB197.2.1,G59,19AcGLB197.2.1,D120,19AcARN305.2.1,A97,19AcGLB197.2.1,L110,19AcGLB197.2.1,Z89,Genomes,BCR,36.05393,-121.54078,A. glaber,Bradyrhizobium,41,K56_R101_I88_G59,D120_A97_L110_Z89,K56_R101_I88_G59_D120_A97_L110_Z89,B. sp. novel II
19AcGLB197.3.1,25,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcGLB197.3.1,A17,19AcS312.3.1,L13,11LoS7_2,Z1,Genomes,BCR,36.05393,-121.54078,A. glaber,Bradyrhizobium,24,K1_R5_I1_G1,D9_A17_L13_Z1,K1_R5_I1_G1_D9_A17_L13_Z1,B. canariense
19AcGLB198.1.2,134,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,12LoS18_1,A9,05LoS20_8,L8,11LoS7_2,Z1,Genomes,BCR,36.05393,-121.54079,A. glaber,Bradyrhizobium,24,K1_R1_I1_G1,D12_A9_L8_Z1,K1_R1_I1_G1_D12_A9_L8_Z1,B. canariense
19AcGLB198.2.2,13,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS15_2,D12,12LoS18_1,A9,05LoS20_8,L8,11LoS7_2,Z1,Genomes,BCR,36.05393,-121.54079,A. glaber,Bradyrhizobium,24,K1_R1_I1_G1,D12_A9_L8_Z1,K1_R1_I1_G1_D12_A9_L8_Z1,B. canariense
19AcGLB232.1.1,156,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcGLB232.1.1,D49,19AcGLB232.1.1,A55,19AcGLB232.1.1,L34,19AcGLB232.1.1,Z19,Genomes,SR,34.71076903,-120.039777,A. glaber,Bradyrhizobium,24,K1_R1_I1_G1,D49_A55_L34_Z19,K1_R1_I1_G1_D49_A55_L34_Z19,B. canariense
19AcGLB233.1.1,454,19AcGLB233.1.1,K31,19AcGLB233.1.1,R82,19AcGLB233.1.1,I64,19AcGLB233.1.1,G38,19AcGLB233.1.1,D109,19AcGLB233.1.1,A125,19AcGLB233.1.1,L89,19AcGLB233.1.1,Z70,Genomes,SR,34.71075,-120.03988,A. glaber,Bradyrhizobium,77,K31_R82_I64_G38,D109_A125_L89_Z70,K31_R82_I64_G38_D109_A125_L89_Z70,B. japonicum
19AcGLB381sp.3.1,476,19AcGLB381sp.3.1,K41,19AcGLB381sp.3.1,R75,19AcGLB381sp.3.1,I59,19AcGLB381sp.3.1,G46,11LoS34_5,D8,19AcGLB381sp.3.1,A134,05LoS16_8,L1,11LoS7_2,Z1,Genomes,SR,35.2548833,-120.7125333,A. glaber,Bradyrhizobium,25,K41_R75_I59_G46,D8_A134_L1_Z1,K41_R75_I59_G46_D8_A134_L1_Z1,B. canariense
19AcGLBFCO1.1.1,39,19AcHe316.1.1,K1,05LoS7_9,R3,11LoS24_1,I1,11LoS6_3,G1,19AcPa178.2.1,D6,19AcPa146.2.1,A27,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BCR,36.05631,-121.54202,A. glaber,Bradyrhizobium,24,K1_R3_I1_G1,D6_A27_L6_Z5,K1_R3_I1_G1_D6_A27_L6_Z5,B. canariense
19AcGLBFCO3.1.1,479,19AcGLBFCO3.1.1,K43,19AcGLBFCO3.1.1,R88,19AcGLBFCO3.1.1,I76,19AcGLBFCO3.1.1,G47,19AcPa177.1.1,D115,19AcGLBFCO3.1.1,A135,19AcGLBFCO3.1.1,L98,19AcGLBFCO3.1.1,Z77,Genomes,BCR,36.05631,-121.54202,A. glaber,Bradyrhizobium,17,K43_R88_I76_G47,D115_A135_L98_Z77,K43_R88_I76_G47_D115_A135_L98_Z77,B. retamae
19AcGR302.2.1,308,11LoS23_4,K6,19AcGR302.2.1,R52,19AcGR302.2.1,I34,11LoS11_2,G18,19AcGR302.5.1,D76,19AcGR302.5.1,A96,19AcGR302.5.1,L63,19AcGR302.5.1,Z46,Genomes,SCI,34.00017,-119.7149,A. grandiflorus var. grandiflorus,Bradyrhizobium,14,K6_R52_I34_G18,D76_A96_L63_Z46,K6_R52_I34_G18_D76_A96_L63_Z46,B. japonicum
19AcGR302.3.1,310,11LoS23_4,K6,19AcGR302.3.1,R53,19AcD306.1.1,I33,11LoS11_2,G18,19AcGR302.3.1,D77,12LoS16_1,A94,19AcGR302.5.1,L63,11LoS11_2,Z45,Genomes,SCI,34.00017,-119.7149,A. grandiflorus var. grandiflorus,Bradyrhizobium,14,K6_R53_I33_G18,D77_A94_L63_Z45,K6_R53_I33_G18_D77_A94_L63_Z45,B. japonicum
19AcGR302.4.1,458,11LoS20_6,K34,19AcGR302.4.1,R84,19AcGR302.4.1,I67,19AcGR302.4.1,G41,12LoS3_5,D112,19AcGR302.4.1,A128,19AcGR302.4.1,L92,19AcGR302.4.1,Z73,Genomes,SCI,34.00017,-119.7149,A. grandiflorus var. grandiflorus,Bradyrhizobium,16,K34_R84_I67_G41,D112_A128_L92_Z73,K34_R84_I67_G41_D112_A128_L92_Z73,B. japonicum
19AcGR302.5.1,314,11LoS23_4,K6,19AcGR302.2.1,R52,19AcGR302.2.1,I34,11LoS11_2,G18,19AcGR302.5.1,D76,19AcGR302.5.1,A96,19AcGR302.5.1,L63,19AcGR302.5.1,Z46,Genomes,SCI,34.00017,-119.7149,A. grandiflorus var. grandiflorus,Bradyrhizobium,14,K6_R52_I34_G18,D76_A96_L63_Z46,K6_R52_I34_G18_D76_A96_L63_Z46,B. japonicum
19AcHe316.1.1,1,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS6_3,D1,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Genomes,SDM,34.16452702,-117.769316,A. heermannii,Bradyrhizobium,24,K1_R1_I1_G1,D1_A1_L1_Z1,K1_R1_I1_G1_D1_A1_L1_Z1,B. canariense
19AcHe317.2.1,149,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,11LoS8_1,A8,05LoS16_8,L1,11LoS6_3,Z3,Genomes,SDM,34.16513102,-117.768993,A. heermannii,Bradyrhizobium,24,K1_R1_I1_G1,D8_A8_L1_Z3,K1_R1_I1_G1_D8_A8_L1_Z3,B. canariense
19AcNV332.1.1,450,19AcNV335.2.1,K28,19AcNV332.1.1,R79,19AcNV332.1.1,I62,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.1.1,L87,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K28_R79_I62_G35,D106_A122_L87_Z68,K28_R79_I62_G35_D106_A122_L87_Z68,B. retamae
19AcNV332.2.1,452,19AcNV332.2.1,K30,19AcNV332.2.1,R80,19AcNV332.2.1,I63,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.2.1,L85,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K30_R80_I63_G35,D106_A122_L85_Z68,K30_R80_I63_G35_D106_A122_L85_Z68,B. retamae
19AcNV332.3.1,447,19AcNV335.2.1,K28,19AcNV334.2.1,R78,19AcNV334.2.1,I61,19AcNV334.2.1,G36,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.1.1,L87,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K28_R78_I61_G36,D106_A122_L87_Z68,K28_R78_I61_G36_D106_A122_L87_Z68,B. retamae
19AcNV333.1.1,449,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.1.1,L87,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K28_R77_I60_G35,D106_A122_L87_Z68,K28_R77_I60_G35_D106_A122_L87_Z68,B. retamae
19AcNV333.2.1,448,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV333.2.1,D107,19AcNV336.3.1,A122,19AcNV332.2.1,L85,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K28_R77_I60_G35,D107_A122_L85_Z68,K28_R77_I60_G35_D107_A122_L85_Z68,B. retamae
19AcNV334.1.1,141,19AcHe316.1.1,K1,05LoS7_9,R3,19AcNV334.1.1,I14,11LoS6_3,G1,19AcNV334.1.1,D45,19AcNV334.1.1,A53,19AcNV334.1.1,L31,11LoS6_3,Z3,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,24,K1_R3_I14_G1,D45_A53_L31_Z3,K1_R3_I14_G1_D45_A53_L31_Z3,B. canariense
19AcNV334.2.1,446,19AcNV335.2.1,K28,19AcNV334.2.1,R78,19AcNV334.2.1,I61,19AcNV334.2.1,G36,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.1.1,L87,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K28_R78_I61_G36,D106_A122_L87_Z68,K28_R78_I61_G36_D106_A122_L87_Z68,B. retamae
19AcNV334.3.1,453,19AcNV332.2.1,K30,19AcNV334.3.1,R81,19AcNV334.2.1,I61,19AcNV334.3.1,G37,19AcNV336.3.1,D106,19AcNV334.3.1,A124,19AcNV334.3.1,L88,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K30_R81_I61_G37,D106_A124_L88_Z68,K30_R81_I61_G37_D106_A124_L88_Z68,B. retamae
19AcNV335.1.1,444,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.2.1,L85,19AcNV335.1.1,Z69,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K28_R77_I60_G35,D106_A122_L85_Z69,K28_R77_I60_G35_D106_A122_L85_Z69,B. retamae
19AcNV335.2.1,443,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.2.1,L85,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K28_R77_I60_G35,D106_A122_L85_Z68,K28_R77_I60_G35_D106_A122_L85_Z68,B. retamae
19AcNV335.3.1,477,19AcNV335.3.1,K42,19AcNV335.3.1,R87,19AcNV335.3.1,I75,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.2.1,L85,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K42_R87_I75_G35,D106_A122_L85_Z68,K42_R87_I75_G35_D106_A122_L85_Z68,B. retamae
19AcNV336.2.1,445,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV336.2.1,L86,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K28_R77_I60_G35,D106_A122_L86_Z68,K28_R77_I60_G35_D106_A122_L86_Z68,B. retamae
19AcNV336.3.1,478,19AcNV335.3.1,K42,19AcNV335.3.1,R87,19AcNV335.3.1,I75,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.2.1,L85,19AcNV336.3.1,Z68,Genomes,GOR,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3,K42_R87_I75_G35,D106_A122_L85_Z68,K42_R87_I75_G35_D106_A122_L85_Z68,B. retamae
19AcPa144.1.1,280,09LoS43_2,K2,05LoS16_2,R23,19AcPa174.2.1,I24,19AcPa144.1.1,G12,19AcPa178.2.1,D6,19AcPa144.1.1,A54,19AcPa285.2.1,L37,19AcPa284.3.1,Z10,Genomes,HR,36.37865704,-121.563095,A. parviflorus,Bradyrhizobium,21,K2_R23_I24_G12,D6_A54_L37_Z10,K2_R23_I24_G12_D6_A54_L37_Z10,B. canariense
19AcPa144.2.1,238,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa284.3.1,D19,19AcPa144.2.1,A75,19AcPa144.2.1,L46,19AcPa284.3.1,Z10,Genomes,HR,36.37865704,-121.563095,A. parviflorus,Bradyrhizobium,24,K1_R1_I3_G1,D19_A75_L46_Z10,K1_R1_I3_G1_D19_A75_L46_Z10,B. canariense
19AcPa146.2.1,165,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcS179.1.1,D14,19AcPa146.2.1,A27,19AcS179.1.1,L36,19AcPa151A.1.1,Z5,Genomes,HR,36.37865704,-121.563095,A. parviflorus,Bradyrhizobium,24,K1_R1_I3_G1,D14_A27_L36_Z5,K1_R1_I3_G1_D14_A27_L36_Z5,B. canariense
19AcPa146.3.1,278,09LoS43_2,K2,05LoS16_2,R23,19AcPa174.2.1,I24,19AcPa147.2.2,G7,19AcS179.1.1,D14,19AcPa285.2.1,A4,19AcS179.1.1,L36,19AcPa151A.1.1,Z5,Genomes,HR,36.37865704,-121.563095,A. parviflorus,Bradyrhizobium,21,K2_R23_I24_G7,D14_A4_L36_Z5,K2_R23_I24_G7_D14_A4_L36_Z5,B. canariense
19AcPa147.2.2,273,09LoS43_2,K2,05LoS16_2,R23,19AcPa174.2.1,I24,19AcPa147.2.2,G7,19AcPa147.2.2,D62,19AcPa147.2.2,A81,19AcAm129.2.1,L33,19AcPa147.2.2,Z33,Genomes,HR,36.37865704,-121.563095,A. parviflorus,Bradyrhizobium,21,K2_R23_I24_G7,D62_A81_L33_Z33,K2_R23_I24_G7_D62_A81_L33_Z33,B. canariense
19AcPa147.3.1,6,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,HR,36.37865704,-121.563095,A. parviflorus,Bradyrhizobium,24,K1_R1_I3_G1,D6_A4_L6_Z5,K1_R1_I3_G1_D6_A4_L6_Z5,B. canariense
19AcPa151.1.1,146,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa151.1.1,D47,19AcPa144.1.1,A54,19AcAm129.2.1,L33,19AcPa284.3.1,Z10,Genomes,HR,36.37880799,-121.563181,A. parviflorus,Bradyrhizobium,24,K1_R1_I3_G1,D47_A54_L33_Z10,K1_R1_I3_G1_D47_A54_L33_Z10,B. canariense
19AcPa151.2.1,19,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa178.2.1,D6,19AcPa178.2.1,A13,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,HR,36.37880799,-121.563181,A. parviflorus,Bradyrhizobium,24,K1_R1_I3_G1,D6_A13_L6_Z5,K1_R1_I3_G1_D6_A13_L6_Z5,B. canariense
19AcPa151A.1.1,236,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,HR,36.37880799,-121.563181,A. parviflorus,Bradyrhizobium,24,K1_R1_I3_G1,D6_A4_L6_Z5,K1_R1_I3_G1_D6_A4_L6_Z5,B. canariense
19AcPa173.1.1,498,19AcPa173.1.1,K55,19AcPa173.1.1,R100,19AcGLBFCO3.1.1,I76,19AcPa173.1.1,G58,19AcPa173.1.1,D123,19AcPa173.1.1,A145,19AcPa173.1.1,L109,19AcPa173.1.1,Z88,Genomes,BCR,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,17,K55_R100_I76_G58,D123_A145_L109_Z88,K55_R100_I76_G58_D123_A145_L109_Z88,B. retamae
19AcPa173.2.1,488,19AcPa173.2.1,K50,05LoS3_4,R85,05LoS3_3,I70,19AcPa173.2.1,G54,19AcPa177.1.1,D115,19AcPa177.1.1,A141,19AcPa177.1.1,L104,19AcPa173.2.1,Z82,Genomes,BCR,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,26,K50_R85_I70_G54,D115_A141_L104_Z82,K50_R85_I70_G54_D115_A141_L104_Z82,B. retamae
