Strain,X,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species,CHR_haplotype,SYM_haplotype,Genome_haplotype,CHR.clade
19AcAm188.1.1,469,19AcAm184.2.1,K39,05LoS16_2,R23,19AcPa174.2.1,I24,05LoS16R2_18,G44,19AcPa178.2.1,D6,19AcPa178.2.1,A13,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BCR,36.06009099,-121.554333,A. parviflorus,Bradyrhizobium,21,K39_R23_I24_G44,D6_A13_L6_Z5,K39_R23_I24_G44_D6_A13_L6_Z5,B. canariense
19AcAm188.3.1,424,05LoS14_1,K21,05LoS16_2,R23,19AcAm188.3.1,I57,19AcAm188.3.1,G31,19AcAm188.3.1,D103,19AcPa178.2.1,A13,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BCR,36.06009099,-121.554333,A. parviflorus,Bradyrhizobium,21,K21_R23_I57_G31,D103_A13_L6_Z5,K21_R23_I57_G31_D103_A13_L6_Z5,B. canariense
19AcAm188A.1.1,468,19AcAm184.2.1,K39,05LoS16_2,R23,19AcPa174.2.1,I24,05LoS16R2_18,G44,19AcPa178.2.1,D6,19AcPa178.2.1,A13,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BCR,36.06009099,-121.554333,A. parviflorus,Bradyrhizobium,21,K39_R23_I24_G44,D6_A13_L6_Z5,K39_R23_I24_G44_D6_A13_L6_Z5,B. canariense
19AcAm205.1.1,253,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcPa178.2.1,D6,19AcAm211.5.1,A51,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,SR,34.69808897,-120.050645,A. americanus,Bradyrhizobium,24,K1_R2_I1_G1,D6_A51_L29_Z7,K1_R2_I1_G1_D6_A51_L29_Z7,B. canariense
19AcAm205.2.1,138,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcPa178.2.1,D6,19AcAm211.5.1,A51,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,SR,34.69808897,-120.050645,A. americanus,Bradyrhizobium,24,K1_R2_I1_G1,D6_A51_L29_Z7,K1_R2_I1_G1_D6_A51_L29_Z7,B. canariense
19AcAm206.1.1,277,09LoS43_2,K2,05LoS16_2,R23,19AcAm206.1.1,I26,19AcAm206.1.1,G10,19AcAm42.7.1,D13,19AcAm40.6.1,A11,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,SR,34.68866201,-120.045171,A. americanus,Bradyrhizobium,21,K2_R23_I26_G10,D13_A11_L29_Z7,K2_R23_I26_G10_D13_A11_L29_Z7,B. canariense
19AcAm206.2.1,139,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAm40.6.1,A11,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,SR,34.68866201,-120.045171,A. americanus,Bradyrhizobium,24,K1_R1_I1_G1,D13_A11_L29_Z7,K1_R1_I1_G1_D13_A11_L29_Z7,B. canariense
19AcAm208.2.1,163,19AcHe316.1.1,K1,05LoS20_2,R5,11LoS23_10,I3,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAm40.6.1,A11,19AcAm208.3.1,L35,19AcAm43.3.1,Z7,Genomes,SR,34.68863703,-120.045265,A. americanus,Bradyrhizobium,24,K1_R5_I3_G1,D13_A11_L35_Z7,K1_R5_I3_G1_D13_A11_L35_Z7,B. canariense
19AcAm208.3.1,161,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,19AcPa284.3.1,D19,19AcAm208.3.1,A57,19AcAm208.3.1,L35,19AcAm43.3.1,Z7,Genomes,SR,34.68863703,-120.045265,A. americanus,Bradyrhizobium,24,K1_R1_I3_G1,D19_A57_L35_Z7,K1_R1_I3_G1_D19_A57_L35_Z7,B. canariense
19AcAm209.1.1,255,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAM290.1.1,A12,19AcAm39.7.1,L48,19AcAm209.1.1,Z30,Genomes,SR,34.68877198,-120.045298,A. americanus,Bradyrhizobium,24,K1_R1_I1_G1,D13_A12_L48_Z30,K1_R1_I1_G1_D13_A12_L48_Z30,B. canariense
19AcAm209.2.1,247,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcPa178.2.1,D6,19AcAm211.5.1,A51,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,SR,34.68877198,-120.045298,A. americanus,Bradyrhizobium,24,K1_R2_I1_G1,D6_A51_L29_Z7,K1_R2_I1_G1_D6_A51_L29_Z7,B. canariense
19AcAm211.3.1,243,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm42.7.1,D13,19AcAm40.6.1,A11,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,SR,34.68861398,-120.045202,A. americanus,Bradyrhizobium,24,K1_R1_I1_G1,D13_A11_L29_Z7,K1_R1_I1_G1_D13_A11_L29_Z7,B. canariense
19AcAm211.5.1,148,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcPa178.2.1,D6,19AcAm211.5.1,A51,19AcAm211.5.1,L29,19AcAm43.3.1,Z7,Genomes,SR,34.68861398,-120.045202,A. americanus,Bradyrhizobium,24,K1_R2_I1_G1,D6_A51_L29_Z7,K1_R2_I1_G1_D6_A51_L29_Z7,B. canariense
19AcAM272.1.1,496,19AcAM272.3.1,K53,13LoS18_3,R92,19AcAM272.3.1,I85,19AcAM272.3.1,G56,19AcGLB197.2.1,D120,19AcAM304.1.1,A143,19AcAM304.1.1,L107,19AcAM272.3.1,Z85,Genomes,SCI,34.01139,-119.68967,A. americanus,Bradyrhizobium,30,K53_R92_I85_G56,D120_A143_L107_Z85,K53_R92_I85_G56_D120_A143_L107_Z85,B. yuanmingense
19AcAM272.3.1,492,19AcAM272.3.1,K53,13LoS18_3,R92,19AcAM272.3.1,I85,19AcAM272.3.1,G56,19AcGLB197.2.1,D120,19AcAM304.1.1,A143,19AcAM304.1.1,L107,19AcAM272.3.1,Z85,Genomes,SCI,34.01139,-119.68967,A. americanus,Bradyrhizobium,30,K53_R92_I85_G56,D120_A143_L107_Z85,K53_R92_I85_G56_D120_A143_L107_Z85,B. yuanmingense
19AcAM288.1.1,495,19AcAM272.3.1,K53,13LoS18_3,R92,19AcAM304.1.1,I86,19AcAM272.3.1,G56,19AcGLB197.2.1,D120,19AcAM304.1.1,A143,19AcAM304.1.1,L107,19AcAM304.1.1,Z86,Genomes,SCI,33.99768,-119.72742,A. americanus,Bradyrhizobium,30,K53_R92_I86_G56,D120_A143_L107_Z86,K53_R92_I86_G56_D120_A143_L107_Z86,B. yuanmingense
19AcAM288.2.1,494,19AcAM272.3.1,K53,13LoS18_3,R92,19AcAM272.3.1,I85,19AcAM272.3.1,G56,19AcGLB197.2.1,D120,19AcAM304.1.1,A143,19AcAM304.1.1,L107,19AcAM304.1.1,Z86,Genomes,SCI,33.99768,-119.72742,A. americanus,Bradyrhizobium,30,K53_R92_I85_G56,D120_A143_L107_Z86,K53_R92_I85_G56_D120_A143_L107_Z86,B. yuanmingense
19AcAM290.1.1,34,19AcHe316.1.1,K1,05LoS13_4,R2,19AcAM290.2.1,I8,11LoS6_3,G1,19AcPa284.3.1,D19,19AcAM290.1.1,A12,19AcAM290.2.1,L16,19AcAm43.3.1,Z7,Genomes,SCI,33.99768,-119.72744,A. americanus,Bradyrhizobium,24,K1_R2_I8_G1,D19_A12_L16_Z7,K1_R2_I8_G1_D19_A12_L16_Z7,B. canariense
19AcAM290.2.1,240,19AcHe316.1.1,K1,05LoS13_4,R2,19AcAM290.2.1,I8,11LoS6_3,G1,19AcPa284.3.1,D19,19AcAM290.1.1,A12,19AcAM290.2.1,L16,19AcAm43.3.1,Z7,Genomes,SCI,33.99768,-119.72744,A. americanus,Bradyrhizobium,24,K1_R2_I8_G1,D19_A12_L16_Z7,K1_R2_I8_G1_D19_A12_L16_Z7,B. canariense
19AcAM304.1.1,493,19AcAM272.3.1,K53,13LoS18_3,R92,19AcAM304.1.1,I86,19AcAM272.3.1,G56,19AcGLB197.2.1,D120,19AcAM304.1.1,A143,19AcAM304.1.1,L107,19AcAM304.1.1,Z86,Genomes,SCI,34.00406,-119.70664,A. americanus,Bradyrhizobium,30,K53_R92_I86_G56,D120_A143_L107_Z86,K53_R92_I86_G56_D120_A143_L107_Z86,B. yuanmingense
19AcAM304.2.1,485,19AcAM304.2.1,K48,19AcAM304.2.1,R94,19AcAM304.2.1,I81,19AcAM304.2.1,G52,19AcAM304.2.1,D119,19AcARN305.2.1,A97,19AcAM304.2.1,L102,19AcARN305.2.1,Z48,Genomes,SCI,34.00406,-119.70664,A. americanus,Bradyrhizobium,14,K48_R94_I81_G52,D119_A97_L102_Z48,K48_R94_I81_G52_D119_A97_L102_Z48,B. sp. novel II
19AcAM304.3.1,486,19AcAM304.2.1,K48,19AcAM304.3.1,R95,12LoS8_1,I30,19AcAM304.3.1,G53,19AcGLB197.2.1,D120,19AcAM304.3.1,A140,19AcAM304.3.1,L103,19AcAM304.3.1,Z81,Genomes,SCI,34.00406,-119.70664,A. americanus,Bradyrhizobium,14,K48_R95_I30_G53,D120_A140_L103_Z81,K48_R95_I30_G53_D120_A140_L103_Z81,B. sp. novel II
19AcAm39.1.1,473,19AcAm42.2.1,K40,19AcAm42.2.1,R86,19AcAm43.1.1,I73,19AcAm41.2.1,G45,19AcAm43.1.1,D114,19AcAm43.1.1,A132,19AcAm43.1.1,L97,19AcPa151A.1.1,Z5,Genomes,MLR,38.86004,-122.4089,A. americanus,Bradyrhizobium,25,K40_R86_I73_G45,D114_A132_L97_Z5,K40_R86_I73_G45_D114_A132_L97_Z5,B. canariense
19AcAm39.4.1,475,19AcAm42.2.1,K40,19AcAm42.2.1,R86,19AcAm39.4.1,I74,19AcAm41.2.1,G45,19AcPa284.3.1,D19,19AcAm39.4.1,A133,19AcAm39.7.1,L48,19AcPa151A.1.1,Z5,Genomes,MLR,38.86004,-122.4089,A. americanus,Bradyrhizobium,25,K40_R86_I74_G45,D19_A133_L48_Z5,K40_R86_I74_G45_D19_A133_L48_Z5,B. canariense
19AcAm39.7.1,438,19AcAm39.7.1,K24,19AcGLB381sp.3.1,R75,19AcAm39.7.1,I58,19AcAm39.7.1,G33,19AcPa147.2.2,D62,19AcAm40.6.1,A11,19AcAm39.7.1,L48,19AcPa151A.1.1,Z5,Genomes,MLR,38.86004,-122.4089,A. americanus,Bradyrhizobium,25,K24_R75_I58_G33,D62_A11_L48_Z5,K24_R75_I58_G33_D62_A11_L48_Z5,B. canariense
19AcAm40.1.1,279,09LoS43_2,K2,05LoS16_2,R23,19AcPa174.2.1,I24,19AcAm40.1.1,G11,19AcAm40.1.1,D64,19AcAm40.6.1,A11,19AcAm39.7.1,L48,19AcPa151A.1.1,Z5,Genomes,MLR,38.859937,-122.408996,A. americanus,Bradyrhizobium,21,K2_R23_I24_G11,D64_A11_L48_Z5,K2_R23_I24_G11_D64_A11_L48_Z5,B. canariense
19AcAm40.3.1,173,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm43.3.1,D15,19AcAM290.1.1,A12,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,MLR,38.859937,-122.408996,A. americanus,Bradyrhizobium,24,K1_R1_I1_G1,D15_A12_L10_Z7,K1_R1_I1_G1_D15_A12_L10_Z7,B. canariense
19AcAm40.6.1,30,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,19AcAm40.6.1,D22,19AcAm40.6.1,A11,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,MLR,38.859937,-122.408996,A. americanus,Bradyrhizobium,24,K1_R2_I1_G1,D22_A11_L10_Z7,K1_R2_I1_G1_D22_A11_L10_Z7,B. canariense
19AcAm41.2.1,472,19AcAm42.2.1,K40,19AcAm42.2.1,R86,19AcAm43.1.1,I73,19AcAm41.2.1,G45,19AcAm43.1.1,D114,19AcAm43.1.1,A132,19AcAm43.1.1,L97,19AcPa151A.1.1,Z5,Genomes,MLR,38.859937,-122.408997,A. americanus,Bradyrhizobium,25,K40_R86_I73_G45,D114_A132_L97_Z5,K40_R86_I73_G45_D114_A132_L97_Z5,B. canariense
19AcAm41.3.1,257,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,19AcAm43.3.1,D15,19AcAM290.1.1,A12,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,MLR,38.859937,-122.408997,A. americanus,Bradyrhizobium,24,K1_R1_I1_G1,D15_A12_L10_Z7,K1_R1_I1_G1_D15_A12_L10_Z7,B. canariense
19AcAm42.2.1,470,19AcAm42.2.1,K40,19AcAm42.2.1,R86,19AcAm42.2.1,I72,19AcAm41.2.1,G45,19AcAm42.7.1,D13,19AcAM290.1.1,A12,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,MLR,38.85993498,-122.409008,A. americanus,Bradyrhizobium,25,K40_R86_I72_G45,D13_A12_L10_Z7,K40_R86_I72_G45_D13_A12_L10_Z7,B. canariense
19AcAm42.7.1,474,19AcAm42.2.1,K40,19AcAm42.2.1,R86,19AcAm42.2.1,I72,19AcAm41.2.1,G45,19AcAm42.7.1,D13,19AcAM290.1.1,A12,19AcAm129.3.1,L10,19AcAm43.3.1,Z7,Genomes,MLR,38.85993498,-122.409008,A. americanus,Bradyrhizobium,25,K40_R86_I72_G45,D13_A12_L10_Z7,K40_R86_I72_G45_D13_A12_L10_Z7,B. canariense
